focus,real_coord,max_field
0.05,0.91,0.024295289668230545
0.07500000000000001,0.91,0.0226073134154627
0.1,0.91,0.022597969017190623
0.125,0.91,0.022597968709541456
0.15000000000000002,0.91,0.022597968709501738
0.175,0.23,0.02569797588018321
0.2,0.23,0.032354922378647843
0.22500000000000003,0.23,0.03302878712039892
0.25,0.23500000000000001,0.031771377481093675
0.275,0.295,0.031670935510433824
0.3,0.3,0.031121325910689536
0.325,0.305,0.03037900137817358
0.35000000000000003,0.305,0.029379549349844315
0.375,0.31,0.02812083250094021
0.4,0.35000000000000003,0.027419212229332697
0.425,0.355,0.026413921159335406
0.45,0.355,0.025923773227289507
0.47500000000000003,0.36,0.024997214223378365
0.5,0.36,0.02414871516321569
